episode,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
213,67.84,167.645,25.859,1.766,20,0,0,0,52,7,0,1.05,0,13,3,4
214,104.92,193.176,28.602,1.7,21,0,1,0,56,7,1,3.45,0,16,0,5
215,68.44,183.029,29.543,6.182,20,0,0,0,52,12,0,4.2,0,14,1,5
216,129.4,254.871,29.566,2.0,23,0,1,0,58,15,3,4.8,0,17,0,6
217,114.98,217.555,27.806,2.783,22,0,1,0,55,13,2,5.55,0,17,1,4
218,66.5,157.121,30.143,5.658,20,0,0,0,48,8,0,2.55,0,11,2,7
219,107.4,238.639,25.856,0.433,22,0,1,0,58,13,2,4.5,0,17,1,4
220,114.3,211.334,27.5,1.0,21,0,1,0,52,14,1,7.2,0,16,2,3
221,109.54,215.488,28.327,2.533,22,0,1,0,47,15,2,4.5,0,15,5,2
222,69.88,181.879,27.656,4.216,20,0,0,0,50,10,0,2.25,0,17,0,3
223,102.34,175.236,30.765,1.333,21,0,1,0,50,10,1,3.9,0,11,1,9
224,68.6,170.348,29.725,6.165,20,0,0,0,47,11,0,3.3,0,16,1,3
225,101.18,201.916,26.707,2.466,21,0,1,0,53,11,1,9.15,0,15,1,5
226,117.32,223.668,28.111,1.716,22,0,1,0,58,11,2,8.4,0,14,3,6
227,124.48,214.684,30.904,4.716,22,0,1,0,57,12,2,4.35,0,13,2,7
228,69.86,157.871,28.974,2.133,20,0,0,0,54,5,0,0.0,0,11,1,8
229,110.62,233.795,34.903,5.849,23,0,1,0,57,11,3,4.5,0,13,2,8
230,105.38,171.293,34.194,6.832,21,0,1,0,50,5,1,1.5,0,10,2,9
231,103.88,217.361,26.549,0.45,21,0,1,0,58,9,1,4.65,0,14,0,7
232,66.96,166.578,24.107,0.45,20,0,0,0,50,6,0,2.55,0,14,0,6
233,69.28,193.666,25.454,2.449,20,0,0,0,51,10,0,7.2,0,15,0,5
234,116.72,269.781,36.352,8.382,23,0,1,0,61,15,3,8.55,0,21,1,1
235,67.66,176.154,26.249,3.483,20,0,0,0,47,11,0,1.95,0,16,2,2
236,104.34,238.377,40.061,11.807,22,0,1,0,63,10,2,4.95,0,18,0,4
237,105.76,200.313,28.182,2.716,21,0,1,0,55,9,1,4.5,0,16,0,5
238,118.38,341.252,30.851,2.583,25,0,2,0,74,20,5,9.15,0,20,2,3
239,103.52,207.395,25.877,1.716,21,0,1,0,52,13,1,3.45,0,13,3,5
